region,sigungu,category,item_name,application_status,valid_application_count,application_numbers,trademark_names,lgst_values
강원특별자치도,강릉시,특산품,강릉개두릅,유효출원,5,4020160025074|4020180076387|4020200089086|4020200100895|4020240131554,강릉 엄지네|두루다|산야뜰개두릅떡|산해보,등록
강원특별자치도,강릉시,특산품,강릉한과,유효출원,144,4020070045736|4020070045778|4020070062407|4020080012794|4020080026981|4020080059210|4020080059213|4020080059403|4020080059406|4020090003089|4020090022137|4020100009750|4020120067346|4020120067347|4020120067348|4020130005640|4020130045656|4020130045658|4020140077400|4020140081039|4020140081047|4020140085824|4020150010128|4020150030552|4020150033227|4020150047256|4020150047265|4020150063473|4020150074767|4020150074781|4020150074796|4020150074800|4020150074806|4020150089078|4020150094474|4020160010734|4020160018709|4020160027985|4020160035494|4020160076587|4020160103520|4020160107811|4020170013333|4020170087417|4020170120618|4020170143263|4020170150036|4020180006950|4020180006959|4020180006975|4020180006980|4020180021531|4020180048494|4020180061300|4020180061301|4020180076382|4020180076386|4020180076387|4020180076392|4020180076397|4020180078192|4020180097557|4020180097563|4020180103472|4020180118940|4020180139989|4020180156964|4020180174445|4020180174446|4020190003679|4020190009924|4020190050403|4020190068752|4020190069248|4020190069880|4020190069881|4020190071391|4020190089605|4020190093929|4020190154725|4020190178998|4020190198812|4020200069283|4020200116602|4020200116610|4020200153078|4020200161059|4020200222897|4020210091264|4020210105189|4020210126819|4020210161258|4020210221029|4020210258358|4020220007606|4020220050276|4020220147403|4020220157034|4020220194766|4020220214059|4020220233672|4020220239440|4020230031249|4020230058290|4020230058294|4020230113455|4020230148555|4020230174217|4020230184764|4020230185438|4020230194062|4020230198928|4020230201501|4020240061299|4020240077593|4020240131554|4020240185808|4020240185827|4020240198204|4020240200707|4020240213719|4020240213724|4020240218620|4020250007493|4020250140181|4020250152801|4020250154778|4020250154782|4020250187262|4020250190169|4020250222682|4020250228076|4020250237232|4020250240441|4120120036214|4120120036216|4120120036218|4120140049724|4120140049729|4120150048329|4120150048351|4520150005372|7020080000184|7020120000053,"가배한과|갈골|갈골 산자|갈골 한과|갈골명인|강릉 단오빵|강릉 엄지네|강릉과줄|강릉대관령|강릉두부 커피콩빵|강릉명일한과|강릉바다로 오란다|강릉선교장 오색다식|강릉오란다|강릉유과|강릉은정한과|강릉잇다 Local Food|강정먹은호랑이|갯방풍엿 동해안 갯방풍 엿|경포 가시연꽃마을|경포에 뜬 달|과줄먹은호랑이|교산한과|구도장원|깨향당|꽃길망고|꽃수담|꿀구리|너에게로 곶감|넛츠몬|넛츠한과|다강원|다섯개의 달|달보들|달아리|대관령아흔아홉구비|동그리|동애커피과자|동애한과|동튼|동해바람을 머금은 튼실한|두리기|락토키즈|로스팅컴퍼니 로움|맛에 정성을 더하는 곳 정가미 강원감자빵|매화팝|면역방앗간|명일한과|모래내마을|무진장 한과|무진장한과|무진장한과 강릉|미바오|바로먹쿡|바롬한과|박사강정|봄내약과|빨간우체통|삼백년 전통가옥 강릉선교장 한과|삼보|삼엽충|새벽을 담은 프루미|선미한과|속초 엄지네|솔룸|솔향강릉|송이숨결|수미도라|시시호|쌈마니 학산멜론|쏘이제닉|아, 한과롭다|안송자|약과놀리|약과롱|엄마 더주세요|엄지네|엄지네 꼬막밥|엄지네 포장마차|연뻥|영혁강릉커피순대|영혁찐|오징어 먹물엿|용연한과|웰리안 유기농 아로니아|은정당 은정당|은정애플한과|임송상회|임송약과|임송조청|임송주악|잇츠굿|정가미|정감이마을|정선산채꿀빵|주문바다|지강|참순찰떡방|찹쌀동그리|천년의어울림 강릉단오제|커피한과|페이머스파머스|핑거핑고|하서랑|하서량(하서량)|하슬라|한과한날|해피자임|향미한과|호아담|화운과당",공고|등록|출원
강원특별자치도,강릉시,특산품,솔향강릉감자,유효출원,71,4020000008981|4020000008983|4020010003932|4020010003935|4020010003938|4020010003940|4020010003945|4020010056742|4020050059188|4020050059189|4020050059190|4020060043255|4020070045736|4020070045778|4020070062418|4020080006447|4020080059213|4020080059406|4020090022137|4020090037063|4020150021008|4020150030551|4020150030552|4020150064290|4020150064291|4020150064292|4020150064293|4020160025074|4020160104112|4020170018862|4020170018864|4020170096418|4020170157146|4020170157157|4020170157167|4020170157173|4020190068752|4020190071391|4020200092933|4020200123106|4020210003196|4020210175804|4020220045987|4020220045994|4020220122047|4020230032532|4020230036846|4020230113452|4020230217005|4020240107992|4020240138930|4020240138932|4020240140621|4020240140623|4020240144758|4020240164275|4020240165063|4020240165064|4020240165067|4020240222236|4020240233712|4020250026650|4020250026651|4020250127475|4020250135855|4020250176942|4020250223656|4020250225100|4020260006299|7020070000403|7020120000053,감자뭉팅이|강강빵 강원도강릉빵|강릉|강릉 길감자|강릉 제일강산|강릉대관령|강릉삼산|강릉썬빵|강릉역 옹막 메밀|강릉옹막|강옹심|강원옥|경포 가시연꽃마을|경포(경포)오죽|길감자|누리설봉|다비기정|대관령아흔아홉구비|대관령오죽|대굴령마을|대굴령쌈채|동해기정|동해기정떡 기정떡을 가장 잘 알고 연구하는 대한민국 대표 기정떡 전문점|떡도령|마더 감자옹심이 버블|마음바른농부|맛에 정성을 더하는 곳 정가미 강원감자빵|메밀리|밥한공기|복사꽃마을|산야뜰|산야뜰개두릅떡|삼교리동치미막국수|상화점 상화점|설증순|소스에 빠진 감자|솔향강릉|순하란|심해|안반데기|엄마 더주세요|오구감자|오죽|오죽헌오죽|옹막|정가미|정감이마을|커감빵|커피기정|트랜트|해피테이토|행벅,공고|등록|출원
강원특별자치도,강릉시,특산품,솔향강릉블루베리,유효출원,4,4020170093900|4020170096418|4020170096420|4020170096425,마음바른농부,등록
강원특별자치도,강릉시,유형유산,강릉 경포대,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 경포대와 경포호,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 굴산사지,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 굴산사지 당간지주,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 굴산사지 승탑,미출원,0,,,
강원특별자치도,강릉시,유형유산,강릉 대창리 당간지주,미출원,0,,,
