region,sigungu,category,item_count,applied_item_count,application_rate,applied_examples,application_count,unapplied_examples
강원특별자치도,강릉시,특산품,4,4,100.0,한과|감자|두릅,211,
강원특별자치도,강릉시,유형유산,13,13,100.0,대관령 옛길|강릉 오죽헌ㆍ박물관 소장 미타계첩|강릉 오죽헌ㆍ박물관 소장 임영족회첩,51,
강원특별자치도,강릉시,무형유산,1,1,100.0,강릉단오제,18,
강원특별자치도,고성군,특산품,36,36,100.0,소주|떡|한과,348,
강원특별자치도,고성군,자연유산,1,1,100.0,화진포,2,
강원특별자치도,동해시,특산품,4,4,100.0,막걸리|사과|옥수수,47,
강원특별자치도,동해시,유형유산,2,2,100.0,동해 김진사 고택|동해 심의관 고택,1,
강원특별자치도,삼척시,특산품,7,7,100.0,마늘|포도|도라지,37,
강원특별자치도,삼척시,유형유산,1,1,100.0,삼척 두타산 이승휴 유적,1,
강원특별자치도,속초시,특산품,4,4,100.0,오징어|명란젓|오징어젓,96,
강원특별자치도,속초시,유형유산,3,3,100.0,설악산 비룡폭포 계곡 일원|설악산 비선대와 천불동계곡 일원|설악산 토왕성폭포,12,
강원특별자치도,양구군,특산품,10,10,100.0,사과|송이버섯술|쌀,124,
강원특별자치도,양양군,특산품,10,10,100.0,채소|쌀|감,137,
강원특별자치도,양양군,유형유산,6,6,100.0,양양 하조대|양양 휴휴암 소장 개간비밀교|양양 휴휴암 소장 관동빈흥록,7,
강원특별자치도,영월군,특산품,10,10,100.0,포도|고추|콩,91,
강원특별자치도,영월군,유형유산,5,5,100.0,영월 주천 삼층석탑|영월 장릉|장릉,6,
강원특별자치도,원주시,특산품,11,11,100.0,쌀|사과|소고기,309,
강원특별자치도,원주시,유형유산,8,8,100.0,원주 기독교 의료 선교 사택|원호 묘역|원주 강원감영,24,
강원특별자치도,인제군,특산품,9,9,100.0,오미자|콩|황태,125,
강원특별자치도,인제군,유형유산,7,7,100.0,설악산 수렴동·구곡담 계곡 일원|설악산 구 희운각대피소|설악산 내설악 만경대,5,
강원특별자치도,정선군,특산품,4,4,100.0,떡|곤드레|황기,92,
강원특별자치도,정선군,유형유산,1,1,100.0,정선 상유재 고택,1,
강원특별자치도,정선군,무형유산,1,1,100.0,정선아리랑(아라리),19,
강원특별자치도,철원군,특산품,7,7,100.0,쌀|사과|토마토,281,
강원특별자치도,철원군,유형유산,1,1,100.0,철원 철새 도래지,2,
강원특별자치도,춘천시,특산품,3,3,100.0,닭갈비|토마토|막국수,159,
강원특별자치도,춘천시,유형유산,4,4,100.0,강릉 한송사지 석조보살좌상|삼척 흥전리사지 출토 청동정병|양양 선림원지 출토 금동보살입상,13,
강원특별자치도,태백시,특산품,2,2,100.0,소고기|곰취,13,
강원특별자치도,평창군,특산품,10,10,100.0,소고기|감자|고추,240,
강원특별자치도,평창군,유형유산,24,24,100.0,대관령 성황사 및 산신각|평창 백룡동굴|오대산 중대불량계원수복문,70,
강원특별자치도,평창군,무형유산,2,2,100.0,평창아라리|월정사 탑돌이,3,
강원특별자치도,홍천군,특산품,21,21,100.0,채소|떡|쌀,398,
강원특별자치도,홍천군,유형유산,1,1,100.0,홍천향교,1,
강원특별자치도,화천군,특산품,26,26,100.0,사과|토마토|채소,115,
강원특별자치도,횡성군,특산품,9,9,100.0,쌀|사과|소고기,276,
경기도,가평군,특산품,12,12,100.0,과일|채소|쌀,286,
경기도,가평군,무형유산,1,1,100.0,지장,1,
경기도,고양시,특산품,3,3,100.0,쌀|시금치|열무,466,
경기도,고양시,유형유산,16,16,100.0,익령군 이치 묘소|고양 흥국사 대방|백자 청화‘홍치2년’명 송죽문 항아리,74,
경기도,고양시,무형유산,1,1,100.0,경기소리(휘몰이잡가),18,
경기도,과천시,유형유산,1,1,100.0,추사 김정희 서신,1,
경기도,과천시,무형유산,1,1,100.0,경기소리(긴잡가),1,
경기도,광명시,유형유산,1,1,100.0,류지호 독립운동가 가옥,1,
경기도,광주시,특산품,9,9,100.0,도자기|소고기|고추,617,
경기도,광주시,유형유산,8,8,100.0,남한산성|남한산성 수어장대|남한산성 숭렬전,6,
경기도,광주시,자연유산,1,1,100.0,곤지암 바위,10,
경기도,김포시,특산품,10,10,100.0,채소|쌀|인삼,1110,
